adjmatrix, occ_original, z_score, avg_random, stdev_random
"000100100", 89, 1.709484445, 84.758000000, 2.481449897
"001100000", 240, -2.518323969, 258.397000000, 7.305255489
"001100010", 10, 9.865220846, 0.890000000, 0.923446129
"010100100", 0, 0.000000000, 0.000000000, 0.000000000
"010100110", 0, 0.000000000, 0.000000000, 0.000000000
"011000000", 164, 1.337245493, 159.122000000, 3.647796927
"011001000", 0, 0.000000000, 0.000000000, 0.000000000
"011100000", 0, 0.000000000, 0.000000000, 0.000000000
"011100010", 0, 0.000000000, 0.000000000, 0.000000000
"011100100", 0, 0.000000000, 0.000000000, 0.000000000
"011101000", 0, 0.000000000, 0.000000000, 0.000000000
"011101100", 0, 0.000000000, 0.000000000, 0.000000000
"011101110", 0, 0.000000000, 0.000000000, 0.000000000
