adjmatrix, occ_original, z_score, avg_random, stdev_random
"000100100", 193, 1.783898863, 188.347000000, 2.608331726
"001100000", 528, -6.082841650, 575.047000000, 7.734378554
"001100010", 20, 19.357895513, 1.038000000, 0.979548628
"010100100", 0, 0.000000000, 0.000000000, 0.000000000
"010100110", 0, 0.000000000, 0.000000000, 0.000000000
"011000000", 380, 1.400258935, 374.339000000, 4.042823694
"011001000", 0, 0.000000000, 0.000000000, 0.000000000
"011100000", 0, 0.000000000, 0.000000000, 0.000000000
"011100010", 0, 0.000000000, 0.000000000, 0.000000000
"011100100", 0, 0.000000000, 0.000000000, 0.000000000
"011101000", 0, 0.000000000, 0.000000000, 0.000000000
"011101100", 0, 0.000000000, 0.000000000, 0.000000000
"011101110", 0, 0.000000000, 0.000000000, 0.000000000
