adjmatrix, occ_original, z_score, avg_random, stdev_random
"000100100", 225130, 9.394713143, 194345.426000000, 3276.797655242
"001100000", 332627, 8.746513570, 281221.458000000, 5877.260875240
"001100010", 1320, 5.802346551, 961.537000000, 61.778971117
"010100100", 67443, -9.095544179, 88660.343000000, 2332.718370989
"010100110", 662, -10.779983773, 1391.108000000, 67.635352271
"011000000", 144244, 8.206609412, 122634.207000000, 2633.218167959
"011001000", 4111, 0.400275614, 4030.801000000, 200.359445264
"011100000", 57609, -7.160565192, 69794.051000000, 1701.688438564
"011100010", 1302, -15.917667421, 2381.720000000, 67.831546634
"011100100", 7396, -3.622014072, 10731.499000000, 920.896201433
"011101000", 673, -9.903815713, 1259.619000000, 59.231615065
"011101100", 518, -12.515473035, 1748.907000000, 98.350817151
"011101110", 54, -6.857166775, 295.854000000, 35.270251979
